sheet_team,canonical_abbrev,canonical_name,second_side,notes
A&M,TAMU,Texas A&M,no,
A&M 2,TAMU,Texas A&M,yes,7s row skipped at import
ASU,ASU,Angelo State,no,
Angelo State,ASU,Angelo State,no,
Arrows,ARROWS,Arrows,no,
Austin Huns,HUNS,Austin Huns,no,
BARC,BARC,BARC,no,
Baylor,BAYLOR,Baylor,no,
Baylor 2,BAYLOR,Baylor,yes,7s row skipped at import
Baylor University  - M,BAYLOR,Baylor,no,
Boks,BOKS,Boks,no,HS rows skipped at import
Collin County,COLLIN,Collin County,no,
DARC,DARC,DARC,no,
Dallas Harlequins,QUINS,Dallas Harlequins,no,
Dallas Harlequins ,QUINS,Dallas Harlequins,no,
Grand Prairie,GRAND PRAIRIE,Grand Prairie,no,
LTU,LETU,LeTourneau,no,
OU,OU,Oklahoma,no,
OU ,OU,Oklahoma,no,
OU Roses,OU,Oklahoma,no,women's side; division carries context
OU Roses ,OU,Oklahoma,no,women's side; division carries context
Quins,QUINS,Dallas Harlequins,no,
Reds,REDS,Dallas Reds,no,
Rice University,RICE,Rice,no,
SAm Houston,SHSU,Sam Houston,no,
SHSU,SHSU,Sam Houston,no,
SMU,SMU,SMU,no,
SNU,SNU,Southern Nazarene,no,
Southern Nazarene University,SNU,Southern Nazarene,no,
Southern Nazarene University ,SNU,Southern Nazarene,no,
Sam Houston,SHSU,Sam Houston,no,
Sam Houston State,SHSU,Sam Houston,no,
Sam Houston State University,SHSU,Sam Houston,no,
San Antonio,SAN ANTONIO,San Antonio,no,
San Antonio ,SAN ANTONIO,San Antonio,no,
Shreveport,SHREVEPORT,Shreveport,no,
Shreveport ,SHREVEPORT,Shreveport,no,
St Edwards,STED,St. Edward's,no,
St Edward's,STED,St. Edward's,no,
St Edward’s,STED,St. Edward's,no,
St. Edwards,STED,St. Edward's,no,
StEd,STED,St. Edward's,no,
TAMU,TAMU,Texas A&M,no,
TAMU CC,TAMUCC,Texas A&M–Corpus Christi,no,
TCU,TCU,TCU,no,
Tcu,TCU,TCU,no,
TEXAS STATE WOMEN,TXST,Texas State,no,
TT,TTU,Texas Tech,no,
TXST,TXST,Texas State,no,
Texas,UT,Texas,no,
Texas A&M,TAMU,Texas A&M,no,
Texas A&M ,TAMU,Texas A&M,no,
Texas A&M - Corpus Christi (TAMUCC) - M,TAMUCC,Texas A&M–Corpus Christi,no,
Texas A&M Corpus Christi,TAMUCC,Texas A&M–Corpus Christi,no,
Texas A&M University (TAMU) - M,TAMU,Texas A&M,no,
Texas A+M,TAMU,Texas A&M,no,
Texas State,TXST,Texas State,no,
Texas State University (TxSt) - M,TXST,Texas State,no,
Texas Tech,TTU,Texas Tech,no,
Texas tech,TTU,Texas Tech,no,
UH,UH,Houston,no,
UNT,UNT,North Texas,no,
UNT Mens,UNT,North Texas,no,
UNT WOMEN,UNT,North Texas,no,
UT,UT,Texas,no,
UTD,UTD,UT Dallas,no,
UTSA,UTSA,UT San Antonio,no,
UTSA Mens,UTSA,UT San Antonio,no,
University,UD,Dallas,no,Pugh row manual fix
University of Dallas,UD,Dallas,no,University of Dallas — not UTD
University of Houston,UH,Houston,no,
University of Houston ,UH,Houston,no,
University of Oklahoma,OU,Oklahoma,no,
University of Oklahoma ,OU,Oklahoma,no,
University of Texas,UT,Texas,no,
University of Texas - San Antonio (UTSA) - M,UTSA,UT San Antonio,no,
University of Texas Dallas,UTD,UT Dallas,no,
University of Texas at Austin,UT,Texas,no,
University of Texas at Austin ,UT,Texas,no,
Utd,UTD,UT Dallas,no,
Waco Wombats,WACO,Waco Wombats,no,
Woodlands,WOODLANDS,Woodlands,no,
Woodlands ,WOODLANDS,Woodlands,no,
